record_name,ref_name
Забивной анкер M14/18*60,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 10 мм, длина 60 мм"
Анкер-шуруп HUS3-H 14x75 10/-/-,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм"
Анкер-шуруп HUS4-H 14x75 10/-/-,"Анкер-шурупы стальные оцинкованные с шестигранной головкой, диаметр 8 мм, длина 75 мм"
Арматура композитная АСК-6 Н бухта 50 м(срок постаки 1-2 раб дня),"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм"
Арматура стеклопластиковая АСК-4,"Арматура стеклокомпозитная АСК, прочность 800 МПа, упругость 50 ГПа, диаметр 4 мм"
Аэратор кровельный ТехноНИКОЛЬ 160x460мм,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
Аэратор кровельный ТехноНИКОЛЬ 160х460 мм. Срок поставки 3-4 раочих дня,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x450мм,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
Аэратор кровельный ТехноНИКОЛЬ ЭКО 160x460 мм,"Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
"Аэратор Поливент СУПЕР d-160 мм, высота 470 мм ( в уп.4 шт.)","Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
"Аэратор Поливент Супер д-160 мм,высота 470 мм","Аэратор кровельный из ПВХ, устойчивый к атмосферному воздействию и ультрафиолетовому излучению, диаметр 75 мм, высота 375 мм"
"Волма Монтаж Гипсовая клеевая смесь, 30 кг (45шт/под)","База гипсовая гладкая под колонну, высота от 251 до 400 мм"
"Шпаклевка гипсовая ""Профи База"" De Luxe 25 кг","База гипсовая гладкая под колонну, высота от 251 до 400 мм"
Балка 14 Б1,"Балка Б1-А, проект 3.407-115"
"Балка 14 Б1 (1 шт = 129 кг, L = 12 000 мм)","Балка Б1-А, проект 3.407-115"
"Балка 14 Б1 (12м=131кг,СтЗпс)","Балка Б1-А, проект 3.407-115"
Балка 14 Б1 L=12000мм,"Балка Б1-А, проект 3.407-115"
Балка 14 Б1 с.255 СТО-АСЧМ 20-93,"Балка Б1-А, проект 3.407-115"
Балка 20 Б1,"Балка Б1-А, проект 3.407-115"
"Балка 20 Б1, С255","Балка Б1-А, проект 3.407-115"
"Балка 20 Б1, стО9Г2С","Балка Б1-А, проект 3.407-115"
Балка двутавровая №14 Б1,"Балка Б1-А, проект 3.407-115"
Балка монолитная БМ1 (7500x500x400) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМ2 (6000x500x400) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМ2(6000*500*400) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМ7 (5500x500x350) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМ7(5500*500*350) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМЗ (5000x500x300) В25,"Балки железобетонные подкрановые, пролет 6 м, объем до 1,5 м3, бетон В25, расход арматуры от 200 до 250 кг/м3"
Балка монолитная БМ4 (3500x500x200) В20,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3"
Балка монолитная БМ4(3500*500*200) В20,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3"
Балка монолитная БМ5 (2500x500x200) В20,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3"
Балка монолитная БМ5(2500*500*200) В20,"Балки стропильные двускатные железобетонные, объем до 5 м3, бетон В40, расход арматуры от 150 до 200 кг/м3"
"Бетононасос 120 подача бетона, раствора","Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч"
"Бетононасос 688 подача бетона, раствора","Бетононасосы-миксеры прицепные с двигателем внутреннего сгорания, производительность 12 м3/ч"
120808-00041 Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,Бирки кабельные маркировочные пластмассовые У135
"Комплект маркировочный КМП для кабеля, бирки 90x20x2, пластмасса, черный (50 комплектов + 1 маркер) 120808-00041 (СвязьСтройДеталь)",Бирки кабельные маркировочные пластмассовые У135
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД,Бирки кабельные маркировочные пластмассовые У135
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — 14 дней —,Бирки кабельные маркировочные пластмассовые У135
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД — в наличии —,Бирки кабельные маркировочные пластмассовые У135
Комплект маркировочный пластмассовый КМП (в упаковке 50 комплектов и 1 маркер) ССД— в наличии —,Бирки кабельные маркировочные пластмассовые У135
Дверь межкомнатная глухая финиш-бумага ламинация цвет белый 90x200 мм,"Блок дверной металлический противопожарный двупольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1300х2100 мм"
(ДМ-2)  дверь металлическая Комплект фурнитуры по ТЗ,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
(ДПМ-1 EI-60)  дверь металлическая противопожарная Комплект фурнитуры по ТЗ Подготовка под ЭМЗ,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
Двери противопожарные 1200x2100. Без учета монтажа.,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
Двери противопожарные 1200х2100. Без учета монтажа.,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
Дверь входная металлическая металл/металл 2050х960х45 мм правая,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь металлическая, наруж., двупол. 1500*2100","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь металлическая, однопол., пр. 1050*2100","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь металлическая, однопол., пр. 1070*2110","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь металлическая, однопол., пр. 900*1300","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1010*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1040*2090(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL9010, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик, вент.решетка 600*200(5) мм","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"Дверь противопожарная металлическая ДПМ-1 EI-60. Металл 1,2 мм. Размер по коробке 1060*2080(5), открывание ПРАВОЕ, порог 14мм, наличники 50 мм с трех сторон, порошковая покраска по каталогу RAL7016, ручка нажимная с огнеупорным замком ключ/ключ, 2 петли на створке. Дополнительно: доводчик","Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
Лестница металлическая ВЛ-3 (покраска ГФ021 два слоя),"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
Накладка дверная Фабрика замков Е 002 алюминий,"Блок дверной металлический противопожарный двупольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1200х2100 мм"
"1100х2100, Дверь наружная, однопольная стальная глухая правая, с доводчиком, утепленная, усиленная, замок цилиндрованный, порог, цвет RAL 7016","Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм"
"1050х2100, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм"
"1070х2110, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм"
"900х1300, Дверь глухая, однопольная, правая, стальная противопожарная, с уплотнением в притворах, порошковая окраска в цвет Ral 9010 (уточняется дизайн-проектом), замок цилиндровый, порог, доводчик, нажимная ручка с двух сторон, противопожарная EI30","Блок дверной металлический противопожарный однопольный остекленный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х2100 мм"
"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130 мм","Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм"
"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 130-250 мм","Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм"
"Дверь влагостойкая однопольная, правая 1050x2100 толщина стены 250 мм","Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм"
"Дверь влагостойкая однопольная,левая 1050x2100 толщина стены 250 мм","Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 800х2100 мм"
"Дверь противопожарная 2100*900 мм (правая, 7035, с наличником, с порогом, размер по коробке)","Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 30, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 900х1600 мм"
Дверной блок металлический технический 2100*1100 Ral 7016 Правый,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм"
Дверной блок металлический технический АП 2100*1500 Ral 7016 Левый,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм"
Дверной блок металлический технический усиленный 2100*1100 Ral 7016 Правый,"Блок дверной металлический противопожарный однопольный, предел огнестойкости EI 60, с заполнением минеральной ватой, окрашенный порошковыми красками, с замком-защелкой, без доводчика, размеры 1100х2100 мм"
ФБС9.3.6-т Блоки бетонные для стен и подвалов,"Блок железобетонный для стен подвалов полнотелый ФБС9-5-6-Т, бетон В7,5, объем 0,244 м3, расход арматуры 0,76 кг"
БЛОК ПВХ ОКОННЫЙ белый (14 шт),"Блок оконный из ПВХ-профиля двустворчатый, глухой, с двухкамерным стеклопакетом толщиной 32 мм, площадь более 3 м2"
БЛОК ПВХ ОКОННЫЙ белый/белый с однокамерным ст/пакетом,"Блок оконный из ПВХ-профиля двустворчатый, глухой, с однокамерным стеклопакетом толщиной 24 мм, площадь более 3,5 м2"
Блок ФБС 9.3-6Т,"Блоки железобетонные для стен подвалов пустотные, объем до 0,6 м3, бетон В12,5, расход арматуры до 50 кг/м3"
"Блоки из пеностекла, кашированные стеклохолстом НЕОПОРМ D130 600x450x130","Блоки из пеностекла, плотность не более 200 кг/м3"
"Теплоизоляционные блоки из пеностекла ""Изостек"" 600*500*130 мм, кэшированные битумом с одной стороны (ТУ 23.99.19-001 -10196323-2017)","Блоки из пеностекла, плотность не более 200 кг/м3"
Блоки из ячеистого бетона D600 (100х250х600 мм),"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2"
Блоки из ячеистого бетона D600 (150х250х600 мм),"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2"
Блоки из ячеистого бетона D600 (200х250х600 мм),"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2"
Блоки из ячеистого бетона D600 (400х250х600 мм),"Блоки из ячеистых бетонов стеновые 1 категории, объемная масса 600 кг/м3, класс В2"
"Бобышка сталь №5 БП-ТМ-30 для манометра вварная прямая G1/2"" L=30mm ВР Роома 00000024764",Бобышка прямая БМ20
Болт М20,"Болт анкерный с гайкой стальной фрикционный расклинивающийся, с наружной резьбой М20, диаметр 28 мм, длина 60 мм"
Болт анкерный М 16x1 80 оцинк.,Болты анкерные оцинкованные
Болт анкерный М 16x140 оцинк.,Болты анкерные оцинкованные
Болт анкерный М 16x180 оцинк.,Болты анкерные оцинкованные
"Болт DIN 933 с полн. рез., цинк, М10*35","Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм"
"Болт DIN 933 с полн. рез., цинк, М10*50","Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм"
Болт М10*60 полнонарезной DIN933 цинк.,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М10, диаметр 12 мм, длина 120 мм"
Болт анкерный М16х 80 (HG) с крюком М12 оцинк.,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М12, диаметр 16 мм, длина 110 мм"
Болт анкерный М16х130 (HG) с крюком М12 оцинк.,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М12, диаметр 16 мм, длина 110 мм"
"Framini анкерная гайка 15,0","Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
SWFS Анкерный болт с гайкой 16x150 15шт тов-071339,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
"Анкерная гайка 15,0","Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Анкерный болт R-XPT-08085/20 (100шт),"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Анкерный болт КТ 16х150,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Анкерный болт с гайкой 20*200,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Анкерный болт с гайкой 20Х200,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Анкерный болт с гайкой 8*85,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Болт анкерный М 16x140 сцинк.,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Гайка стальная М 8 Оцинкованная,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М3, диаметр 10 мм, длина 130 мм"
Стандартный анкер с болтом М6,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М6, диаметр 8 мм, длина 40 мм"
Усиленный анкер с болтом М6,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М6, диаметр 8 мм, длина 40 мм"
"Болт DIN 933 с полн. рез., цинк, М8*30","Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм"
Болт М8*60 полнонарезной DIN933 цинк,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм"
Наконечник кабельный кольцевой 4кв.мм под болт М8 2СТЕ8М DKC,"Болты анкерные с гайкой стальные фрикционные расклинивающиеся, с наружной резьбой М8, диаметр 10 мм, длина 100 мм"
"110302-00173 Болт консольный (1 шайба, 1 гайка) ССД","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
"Болт консольный (1 шайба, 1 гайка) ССД","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
"Болт консольный (1 шайба, 1 гайка) ССД — в наличии —","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
"Болт консольный (1 шайба, 1 гайка) ССД — в наличии —","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
"Болт консольный (1 шайба, 1 гайка) ССД— в наличии —","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
"Болт консольный (1 шайба, 1 гайка) ССД(срок постаки 14 дней поставка к поставщику + 4 недели до Клд)","Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
Болт стальной однорас. в компл. с гайкой и шайбой 8х 90,"Болты анкерные фундаментные стальные в комплекте с двумя гайками М12 и шайбами М12, тип 1, диаметр М12"
Болт с шестигранной головкой М10х40 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) СТРОЙМЕТИЗ UTGRM3012058,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М10х40 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) СТРОЙМЕТИЗ UTORM3012058,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М10х50 DIN 933 класс прочн. 5.8 оцинк. пакет (ул.20шт) СТРОЙМЕТИЗ UTORM3012078,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М10х50 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) СТРОЙМЕТИЗ UTORM3012078,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М10х60 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.20шт) СТРОЙМЕТИЗ UTORM3012098,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М8х30 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.60шт) СТРОЙМЕТИЗ UTORM3011638,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М8х30 DIN 933 класс прочн. 8.8 оцинк. пакет (уп.60шт) СТРОЙМЕТИЗ UTORM969093M830,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М8х60 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.30шт) СТРОЙМЕТИЗ UTORM3011698,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт с шестигранной головкой М8х60 DIN 933 класс прочн. 5.8 оцинк. пакет (уп.ЗОшт) СТРОЙМЕТИЗ UTORM3011698,"Болты сборочные с гайками и шайбами, класс прочности 5.8"
"Болт шестигранный М 10x30мм, класс прочности 10,9 фасовка 30шт","Болты сборочные с гайками и шайбами, класс прочности 5.8"
"Болт шестигранный М 10x40мм, класс прочности 10,9 фасовка 20шт","Болты сборочные с гайками и шайбами, класс прочности 5.8"
"Болт шестигранный М 10х40мм, класс прочности 10,9 фасовка 20шт","Болты сборочные с гайками и шайбами, класс прочности 5.8"
Болт М10х 40 DIN933 класс прочности 8.8 оц. Срок поставки 2-3 раб дня,"Болты стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М16-24, длина 50-200 мм"
"Болт М16*75 кл.пр.8,8 DIN 933 оц","Болты стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М16-24, длина 50-200 мм"
Болт М36х150 DIN933 класс прочности 8.8,"Болты стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М16-24, длина 50-200 мм"
"Болт оцинкованный, класс прочности 5,8 DIN933 М8*25","Болты стальные высокопрочные с шестигранной головкой, класс прочности 10.9 (11.0), с резьбой М16-24, длина 50-200 мм"
Болт М 10x40 оцинк. 1шт.=32г,"Болты стальные оцинкованные U-образные, с наружной резьбой М10, ширина 110 мм, высота 90 мм"
Болт М 12x50 оцинк. 1шт.=60г,"Болты стальные оцинкованные U-образные, с наружной резьбой М10, ширина 110 мм, высота 90 мм"
"Болт М10*50 кл.пр.8,8 DIN 933 оц.","Болты стальные оцинкованные U-образные, с наружной резьбой М10, ширина 110 мм, высота 90 мм"
Болт М10х50 оцинк. 1шт.=36.5г,"Болты стальные оцинкованные U-образные, с наружной резьбой М10, ширина 110 мм, высота 90 мм"
Болт М10х60 оцинк. 1 шт.=42г,"Болты стальные оцинкованные U-образные, с наружной резьбой М10, ширина 110 мм, высота 90 мм"
