x;y
Покрытие битумно-полимерное с пенополистироловым наполнителем двухкомпонентное толстослойное для бесшовной гидроизоляции со свойством перекрытия трещин расход л м;Двухкомпонентное толстослойное битумно-полимерное покрытие с пенополистиролом для бесшовной гидроизоляции
Эмульсия битумно-дорожная;Битумная дорожная эмульсия
Гудрон полугудрон;Гудрон и полугудрон
Бензин авиационный Б;Авиационный бензин
Бензин автомобильный АИ АИ;Автомобильный бензин (АИ)
Бензин растворитель;Растворительный бензин
Вазелин технический;Технический вазелин
Керосин для технических целей;Технический керосин
Мазут топочный каменноугольный;Топочный мазут
Мазут флотский Ф;Флотский мазут
Парафин нефтяной твердый Т;Нефтяный твердый парафин
Смазка аэрозольная для электроинструмента;Аэрозольная смазка для электроинструментов
Смазка антифрикционная пластичная для узлов трения работающих при переменных ударных нагрузках диапазон температур от C до C;Антифрикционная пластичная смазка для узлов трения с переменными ударными нагрузками
Спирт бутиловый синтетический;Синтетический бутиловый спирт
Спирт изопропиловый;Изопропиловый спирт
Спирт фурфуриловый;Фурфуриловый спирт
Спирт ректификованный из пищевого сырья;Ректификованный спирт из пищевого сырья
Спирт ректификованный технический сорт I;Технический ректификованный спирт сорт I
Топливо дизельное;Дизельное топливо
Азот газообразный технический;Технический азот
Аргон газообразный сорт I;Аргон газ сорт I
Ацетилен газообразный технический;Технический ацетилен
Водород газообразный технический;Технический водород
Природный газ;Природный газ
Углекислый газ;Углекислый газ
Газообразный технический кислород;Индустриальное масло
Газ сварочный смесь аргона и углекислого газа;Дизельное моторное масло
Пропан бутан смесь техническая;Антраценовое масло
Углеродистый четыреххлорид;Каменноугольное масло для пропитки древесины
Фреон;Авиационное масло
Асидол мылонафт;Изоляционное масло
Концентрированная кислота азотная сорт I;Азотное масло
Кислота борная техническая марка А;Синтетический глицерин
Кислота ортофосфорная особо чистая;Графит измельченный
Кислота серная аккумуляторная сорт высший;Глицерин синтетический
Кислота соляная особо чистая;Канифоль сосновая
Кислота уксусная;Купорос медный марка А
Кислота щавелевая;Баббиты кальциевые
Углекислота;Карбид кальция для кусков
Магний сернокислый водный;Магний сернокислый водный (МСКВ) 25% в р-не
Магний технический хлористый бишофит ;Магний хлористый бишофит (МХБ) 25%
Натр едкий технический гидроксид натрия сода каустическая ;Натр едкий технический гидроксид (НЕТГ) 50%
Натриевая соль метил хлорфенокси уксусной кислоты м х 10%;Натриевая соль метил хлорфенокси уксусной кислоты (НСМХУК) 10%
Натрий азотистокислый в растворе марка А Б сорт высший ;Натрий азотистокислый в растворе (НАКР) марка АБ
Натрий сернокислый технический;Натрий сернокислый технический 10%
Натрий фтористый;Натрий фтористый 10%
Натрий хлористый технический;Натрий хлористый технический 10%
Сода кальцинированная натриум углекислый техническая;Сода кальцинированная натриум углекислый (СКНУ) 10%
Стекло жидкое натриевое каустическое;Стекло жидкое натриевое каустическое (СЖНК) 10%
Тринатрийфосфат технический;Тринатрийфосфат технический 10%
Хлор жидкий канистра кг 10%;Хлор жидкий канистра (ХЖК) 10%
Олигоэфиракрилат МГФ сорт I;Олигоэфиракрилат МГФ сорта I 10%
Сополимер смола метакриловой кислоты и ее эфира;Сополимер смола метакриловой кислоты и ее эфира (ССМКЭ) 10%
Тиоколы жидкие;Тиоколы жидкие 10%
Цинк хлористый;Цинк хлористый 10%
Вольфрам;Вольфрам 10%
Натрий полифосфат технический;Натрий полифосфат технический 10%
Гидропероксид изопропилбензола технический;Гидропероксид изопропилбензола технический (ГИПБТ) 10%
Дибутилфталат технический сорт I;Дибутилфталат технический сорта I 10%
Карбоксиметилцеллюлоза КМЦ;Карбоксиметилцеллюлоза (КМЦ) 10%
Кварц молотый пылевидный;Кварц молотый пылевидный (КМП) 10%
Метилен хлористый технический;Метилен хлористый технический 10%
Кислота стеариновая техническая;Кислота стеариновая техническая (КСТ) 10%
Уголь активный древесный БАУ А;Уголь активный древесный (УАД) 10%
Фенантролин орто ЧДА;Фенантролин орто ЧДА 10%
Ферросилиций;Ферросилиций 10%
Хладоноситель жидкий на основе калиевых солей карбоновых кислот температуры кристаллизации не выше С плотность при температуре С г с
Ампула однокамерная из нетканого материала для анкерной крепи забойки шпура при проведении взрывных работ заполненная минеральной сухой смезью диаметр мм длина мм;Ампула для крепления в горных выработках и забойке, заполненная минеральной сухой смезью, диаметр 40 мм, длина 150 мм
Ампула двухкамерная из полимерной пленки для анкерной крепи в горных выработках заполненная полиэфирной смолой и отвердителем односкоростная диаметр мм длина мм;Ампула двухкамерная для крепления в горных выработках, заполненная полиэфирной смолой и отвердителем, диаметр 40 мм, длина 150 мм
Крепь арочная металлическая податливая трехзвенная для горнопроходческих работ прокат СВП;Арочная металлическая крепь для горнопроходческих работ, прокат, диаметр 200 мм, длина 1200 мм
Фильтр стержневой перфорированный для буровых водопонизительных скважин из обсадной трубы наружным диаметром мм перфорация с просечным листом из нержавеющей стали толщина стенки трубы мм длина мм;Стержневой фильтр для водопонизительных скважин, выполненный из нержавеющей стали, наружный диаметр 4 1/2 дюймов, толщина стенки 8 мм, длина 3 м
Краска для дорожной разметки автомобильных дорог суспензия пигментов и наполнителей в акриловом сополимере с модифицирующими добавками цвет белый;Белая краска для дорожной разметки, суспензия акрилового сополимера с модифицирующими добавками, цвет белый
Пластик холодный для дорожной разметки двухкомпонентный с порошковым отвердителем цвет белый;Холодный пластик для дорожной разметки с порошковым отвердителем, цвет белый
Термопластик для разметки дорог без стеклошариков;Термопластик для дорожной разметки без стеклошариков
Спрей пластик порошкообразный для дорожной разметки на основе синтетических смол с минеральными наполнителями без микростеклошариков горячего нанесения плотность не менее г см расход кг м цвет белый;Порошковый спрей для дорожной разметки на основе синтетических смол с минеральными наполнителями, цвет белый
Отвердитель жидкий для холодного пластика механическое нанесение;Жидкий отвердитель для холодного пластика, механическое нанесение
Стеклошарики световозвращающие для посыпки разметочных красок фракция мкм;Световозвращающие стеклошарики для посыпки дорожной разметки, фракция 0,15-0,5 мм
Форма штучная из термопластика для устройства горизонтальной дорожной разметки тип белая размеры х мм толщина мм;Штучная форма из термопластика для дорожной разметки, белый цвет, размеры 100x300 мм, толщина 5 мм
Ограждение дорожное двустороннее стальное оцинкованное минимальная удерживающая способность кДж высота мм шаг стоек мм динамический прогиб до мм;Двустороннее оцинкованное стальное дорожное ограждение, минимальная удерживающая способность 15 кДж, высота 1200 мм, шаг стоек 1000 мм, динамический прогиб до 2 мм
Секция начальная перильного ограждения из композитных материалов со стойкой и окончанием поручня длина мм высота мм толщина мм;Начальная секция перильного ограждения из композитных материалов с стойкой и поручнем, длина 2000 мм, высота 1100 мм, толщина 2 мм
Ограждение дорожное одностороннее стальное оцинкованное минимальная удерживающая способность кДж высота мм шаг стоек мм динамический прогиб до мм;Одностороннее оцинкованное стальное дорожное ограждение, минимальная удерживающая способность 10 кДж, высота 1200 мм, шаг стоек 1000 мм, динамический прогиб до 2 мм
Барьер переносной пластиковый двухцветный размеры х х мм;Переносной пластиковый двухцветный барьер, размеры 200x800 мм
Вешка для делиниатора размеры х х мм;Делиниаторная вешка размерами 100x100 мм
Знак дорожный на оцинкованной подоснове со световозвращающей пленкой типа А размеры х мм тип ;Дорожный знак на оцинкованной подоснове с световозвращающей пленкой типа А, размеры 400x300 мм, тип А
Пленка световозвращающая для дорожных знаков без покрытия обратной стороны клеевым составом тип А;Световозвращающая пленка для дорожных знаков без покрытия обратной стороны, клеящийся состав, тип А
Стойка опора металлическая для дорожных знаков с полимерным покрытием диаметр мм толщина стенки мм высота мм;Металлическая стойка опора для дорожных знаков с полимерным покрытием, диаметр 40 мм, толщина стенки 2 мм, высота 1500 мм
Столбик сигнальный дорожный металлический однофлажковый длина стойки трубы мм;Металлический однофлажковый дорожный сигнальный столбик с длиной стойки трубы 1200 мм
Неровность искусственная дорожная волнообразная концевой элемент размеры х мм;Искусственная неровность волнообразная концевой элемент, размеры 200x200 мм
Пленка световозвращальная дорожная тип А Б;Световозвращающая дорожная пленка типов А и Б
Световозвращатель дорожный КД ;Дорожный световозвращатель КД
Световозвращатель дорожный КД ;Дорожный световозвращатель КД
Колонка светофорная оцинкованная для крепления дорожных знаков и светофоров диаметр мм высота мм;Оцинкованная колонка светофорная для крепления дорожных знаков и светофоров, диаметр 100 мм, высота 2000 мм
Покрытие дорожное мобильное МДП из высокомолекулярного полиэтилена полипропилена для слабых грунтов толщина мм;Мобильное покрытие дорожное МДП из высокомолекулярного полиэтилена полипропилена, толщина 2 мм
Экран противоослепляющий пластинчатый полимерный ширина мм высота мм;Пластинчатый полимерный противоослепляющий экран, ширина 1000 мм, высота 1000 мм
Крепление для установки пластинчатых полимерных противоослепляющих экранов к металлическому барьерному ограждению в комплекте с опорной частью и метизами шаг установки экранов мм;Крепление для установки пластинчатых полимерных противоослепляющих экранов к металлическому барьерному ограждению, комплект с опорной частью и метизами, шаг установки экранов 500 мм
DIN-рейки металлические, оцинкованные, размеры мм;DIN -рейка оцинкованная см (Chint)
Анкер грунтовый забивной самораскрывающийся, оцинкованный, предельная несущая нагрузка не менее кН;Анкерный элемент ТехноНиколь мм
Анкер металлический канатный, диаметр грузонесущего стержня мм, предельная несущая нагрузка не менее кН, длина мм;Анкерный стержень мм без покрытия м
Анкер химический двухкомпонентный на основе винилэстеровой смолы;Химический Анкер на основе полиэстра мл Akfix C (шт в упк)
Плитки тактильные из резинополиуретана размеры х мм толщина с учетом высоты тактильных элементов мм;Плитка резинополиуретанная тактильная размеры х мм толщина мм
Обои бумажные двухслойные декоративные фотообои с лаковым покрытием;Обои бумажные двухслойные декоративные с лаком
Обои виниловые гладкие водостойкие при наклеивании марка В ;Обои виниловые гладкие водостойкие при наклеивании марка В
Стеклообои под покраску фактура рогожка плотность г м ;Стеклообои под покраску рогожка плотность г/м²
Кожа искусственная обивочная;Искусственная кожа обивочная
Плитка ПВХ для полов толщина мм;Плитка ПВХ для полов толщиной мм
Плитки тактильные из ПВХ размеры х мм толщина с учетом высоты тактильных элементов мм;Плитки тактильные из ПВХ размеры х мм толщина мм
Покрытие ковровое ковролин на джутовой основе;Покрытие ковровое ковролин на джутовой основе
Трава искусственная покрытие ковровое нетканая фибрилированная высота ворса мм;Искусственная трава покрытие ковровое нетканая фибрилированная высота ворса мм
Линолеум ПВХ на теплозвукоизолирующей подоснове с дополнительным защитным слоем с рисунком;Линолеум ПВХ на теплоизоляционной подоснове со звукоизоляцией и рисунком
Панели потолочные акустические из минерального волокна в комплекте с подвесной системой из оцинкованной стали твердые с прямой кромкой класс пожарной опасности КМ класс звукопоглощения C D толщина мм;Панели потолочные акустические из минерального волокна в комплекте с подвесной системой из оцинкованной стали твердые с прямой кромкой класс пожарной опасности КМ класс звукопоглощения C D толщиной мм
Панели потолочные декоративные из минерального волокна твердые с прямой кромкой класс пожарной опасности КМ класс звукопоглощения D E толщина мм;Панели потолочные декоративные из минерального волокна в комплекте с подвесной системой из оцинкованной стали мягкие горизонтальные класс пожарной опасности КМ толщина мм
Плинтус потолочный из экструдированного полистирола размеры х мм;Плинтус потолочный из экструдированного полистирола размерами х мм
Профиль фиксирующий багет стеновой невидимый для натяжного потолка;Профиль фиксирующий багет стеновой невидимый для натяжного потолка
Полотно натяжного потолка цвет белый лаковый с бортиком из ПВХ гарпун ;Полотно натяжного потолка белое лакованное с ПВХ-бортиком
Панели потолочные из минерального волокна для медучреждений в комплекте с подвесной системой из оцинкованной стали твердые с прямой кромкой класс пожарной опасности КМ класс чистоты ИСО толщина мм;Панели потолочные из минерального волокна для медицинских учреждений в комплекте с подвесной системой из оцинкованной стали твердые с прямой кромкой класс пожарной опасности КМ класс чистоты ИСО толщиной мм
Бумага мешочная битумированная Б ;Бумага мешочная битумированная Б
Бумага оберточная листовая;Бумага оберточная листовая
Бумага упаковочная мазутированная;Бумага упаковочная мазутированная
Бумага кабельная электроизоляционная двухслойная;Бумага кабельная электроизоляционная двухслойная
Гетинакс электротехнический листовой марка толщина мм;Гетинакс электротехнический листовой марка толщиной мм
Картон строительный прокладочный марка Б;Картон строительный прокладочный марка Б
Прессшпан листовой марка А;Прессшпан листовой марка А
Уголок картонный защитный;Защитный картонный уголок
Мешки бумажные непропитанные трехслойные открытые сшитые марка НМ;Мешки бумажные непропитанные трехслойные открытые сшитые марка НМ
Шпагат бумажный диаметр мм;Шпагат бумажный диаметром мм
Бумага изоляционная толщина мм;Изоляционная бумага толщиной мм
Бумага ролевая;Бумага ролевая
Бумага фильтровальная;Бумага фильтровальная
Картон фильтровальный;Картон фильтровальный
Вода;Вода
Вода дистиллированная;Дистиллированная вода
Вода химически очищенная;Химически очищенная вода
Сжатый воздух;Сжатый воздух
Пар;Пар
Электроэнергия;Электроэнергия
Доводчик дверной напольный со шпинделем для маятниковых дверей шириной до мм масса двери до кг;Доводчик дверной напольный со шпинделем для маятниковых дверей шириной до мм (вес двери до кг)
Завертка накладная для форточек окон жилых зданий ЗФ ;Завертка накладная для форточек окон жилых зданий ЗФ
Задвижка накладная;Накладная задвижка
Замок врезной тип ЗВ с цилиндровым механизмом;Временной замок с цилиндровым механизмом
Замок мебельный оцинкованный врезной с цилиндровым механизмом для деревянных дверей и фасадов;Временной замок мебельный оцинкованный с цилиндровым механизмом для деревянных дверей и фасадов
Комплект скобяных изделий для отдельных полотен однопольных входных дверей при заполнении отдельными элементами в помещение;Комплект скобяных изделий для отдельных полотен однопольных входных дверей при заполнении отдельными элементами в помещение
Петля накладная с цинковым напылением тип ПН высота мм;Петля накладная с цинковым напылением высотой мм
Ручка скоба из алюминиевого сплава анодированная длина мм;Ручка скоба из алюминиевого сплава анодированная длиной мм
Защелка стальная межкомнатная врезная расстояние между крепежными отверстиями мм размеры х х мм;Защелка стальная межкомнатная врезная с расстоянием между крепежными отверстиями мм, размеры х х мм
Комплект монтажный для установки дверных блоков массой до кг;Комплект монтажный для установки дверных блоков массой до кг
Лакоткань стеклянная тип пропитанная кремнийорганическим лаком липкая толщина мм;Стеклянная лакоткань пропитанная кремнийорганическим лаком толщиной мм
Лакоткань хлопчатобумажная изоляционная ЛХБ толщина мм;Хлопчатобумажная лакоткань изоляционная толщиной мм
Миканит;Миканит
Стеклотекстолит листовой электротехнический марка СТЭФ;Стеклотекстолит из текстолита, ширина мм
Текстолит листовой А толщина от до мм;Текстолит листовой, толщина мм
Ленты герметизирующие гидроизоляционные бутилкаучуковые дублированные нетканым материалом с одной стороны с липким слоем с одной стороны и антиадгезионным покрытием с другой цвет бежевый ширина мм;Герметизирующие ленты бутилкаучуковые, ширина мм
Ленты эластичные самоклеящиеся для профилей направляющих х мм;Ленты эластичные самоклеящиеся, ширина х мм
Ленты герметизирующие перфорированные из нетканого полотна с липким слоем с одной стороны для сотового поликарбоната ширина мм;Герметизирующие ленты перфорированные, ширина мм
Ленты гидроизоляционные паропроницаемые бутилкаучуковые из нетканого материала мембранного типа с липким покрытием по краям с внутренней стороны и антиадгезионным покрытием цвет бежевый ширина мм;Гидроизоляционные ленты бутилкаучуковые, ширина мм
Ленты самоклеящиеся герметизирующие из ПВХ для секционирования гидроизоляции ремонтопригодной системы из ПВХ мембран с одной стороны дублированные слоем геотекстиля боковые выступы которой предназначены для приклейки к основанию цвет серый ширина без учета выступов геотекстиля мм общая ширина мм толщина без учета геотекстиля мм группа горючести Г группа воспламеняемости В;Самоклеящиеся герметизирующие ленты из ПВХ, ширина мм
Профиль набухающий из гидрофильной резины для герметизации и гидроизоляции швов и стыков в бетонных конструкциях размеры х мм;Герметизационный профиль набухающий, размеры х мм
Ленты антикоррозионные полимерно асмольные термостойкие из ПВХ пленки с липким слоем с одной стороны и антиадгезионным покрытием с другой для изоляции трубопроводов ширина мм толщина мм;Антикоррозионные ленты полимерно асмольные, ширина мм
Ленты полимерно битумные для защиты трубопроводов толщина мм;Полимерно битумные ленты, толщина мм
Ленты полиэтиленовые с липким слоем прозрачные ширина мм толщина мм;Полиэтиленовые ленты с липким слоем, ширина мм
Ленты вентиляционные из ПВХ для кровли ширина мм;Вентиляционные ленты из ПВХ, ширина мм
Ленты герметизирующие самоклеящиеся для стыков ендов кровли окрашенные ширина мм;Герметизирующие самоклеящиеся ленты, ширина мм
Лента стеклотканевая армирующая щелочестойкая ширина мм длина мм;Армирующая стеклотканевая лента, ширина мм
Ленты бумажные перфорированные армирующие для повышения трещиностойкости стыков ширина мм;Бумажные ленты перфорированные, ширина мм
Ленты гидроизоляционные для углов и швов на основе полиэфирной сетчатой ленты шириной мм с нанесенной по продольной оси полосой гидроизоляционного эластомера шириной мм;Гидроизоляционные ленты для углов и швов, ширина мм
Лента из полиэстера для фиксации швов искусственных газонов размеры х мм;Полиэстер лента для фиксации швов, размеры х мм
Ленты изоляционные хлопчатобумажные прорезиненные для электромонтажных и ремонтных работ цвет черный ширина мм толщина мм;Изоляционные ленты хлопчатобумажные, ширина мм
Ленты клеевые на бумажной основе ширина мм;Клеящиеся ленты на бумажной основе, ширина мм
Ленты монтажные из пластмассы для бандажирования проводов скрепляются пластмассовыми кнопками ширина мм;Монтажные ленты из пластмассы, ширина мм
Ленты сигнальные из полиэтилена высокого давления Внимание водопровод фон белый надпись синяя ширина мм толщина мм;Сигнальные ленты из полиэтилена высокого давления, ширина мм
Ленты стыковочные битумно полимерные для дорожных покрытий из асфальтобетонных смесей размеры х мм;Стыковые ленты битумно полимеры, размеры х мм
Ленты пенополиэтиленовые демпферные для компенсации температурного расширения цементной стяжки ширина мм толщина мм;Пенополиэтиленовые ленты демпферные, ширина мм
Ленты антикоррозионные термоусаживающиеся полиэтиленовые с липким слоем с одной стороны для изоляции трубопроводов цвет черный ширина мм толщина мм;Антикоррозионные термоусаживающиеся ленты, ширина мм
Ленты термоуплотнительные для герметизации с липким слоем с одной стороны цвет черный ширина мм толщина мм;Термоуплотнительные ленты, ширина мм
Ленты на полиэтиленной основе термоусаживающиеся для изоляции трубопроводов ширина мм толщина мм;Термоусаживающиеся ленты на полиэтиленной основе, ширина мм
Ленты предварительно сжатые уплотнительные саморасширяющиеся на основе пенополиуретана с липким слоем с одной стороны ширина мм толщина в сжатом состоянии мм толщина в расширенном состоянии мм;Уплотнительные ленты сжатые саморасширяющиеся, ширина мм
Материал универсальный самоклеящийся для устройства коньков и хребтов из рулонного пластика армированного алюминиевой сеткой ширина мм;Универсальный самоклеящийся материал, ширина мм
Оболочка тканевая эластичная с силиконовой пропиткой для противопожарной изоляции воздухонепроницаемая водонепроницаемая плотность кг м температура эксплуатации от C до C ширина мм толщина мм;Тканевая оболочка эластичная с силиконовой пропиткой, ширина мм
Муфты терморасширяющиеся противопожарные ленточного типа ширина мм толщина мм;Терморасширяющиеся противопожарные муфты, ширина мм
Ленты из плотной хлопчатобумажной ткани саржевого плетения ширина мм;Ленты из плотной хлопчатобумажной ткани, ширина мм
Ленты термоспекаемые изоляционные ширина мм толщина мм;Термоспекаемые изоляционные ленты, ширина мм
Ленты самослипающиеся для герметизации и гидроизоляции на основе стеклоткани и кремнийорганической резины для электромонтажных и ремонтных работ цвет красный ширина мм толщина мм;Самослипающиеся ленты на основе стеклоткани и кремнийорганической резины, ширина мм
